number,date,name,description
1,12/13/2016,Il Borgo,
2,12/20/2016,The Italian Homemade Company,
3,1/10/2017,Parada 22,
4,1/17/2017,Geneva Steakhouse / Popeyes,
5,1/24/2017,Burmese Kitchen,
6,1/31/2017,Ganim’s Market,
10,2/28/2017,Little Henry’s,
11,3/7/2017,Ali Baba,
12,3/14/2017,Memphis Minnies,
13,3/21/2017,Flavas Jamaican Grill,
14,3/28/2017,Proposition Chicken,
15,4/4/2017,Souvla,
16,4/18/2017,Tee Off,
18,5/2/2017,Tommy’s Joynt,
19,5/16/2017,Golden Boy’s,
20,5/23/2017,Opa Market,
21,5/30/2017,Irving Subs,
22,6/6/2017,Double Decker,
23,6/13/2017,Saucy Asian,(Art @ cats that weekend)
24,6/20/2017,Assab Eritrean,
25,6/27/2017,Yumma’s Mediterranean Grill,
26,7/4/2017,Buen Sabor,Birthday
27,7/11/2017,Melissa’s Chinese Cuisine takeout,
28,7/18/2017,"Tommy’s Joynt, then flight",
30,8/1/2017,Pomelo w/ MB,
31,8/8/2017,Buttermilk Southern Kitchen,
32,8/15/2017,San Tung,
33,8/29/2017,RT Rotisserie,
34,9/5/2017,Wok this Way,w/ Mark
35,9/12/2017,Mi Lindo Peru,
36,9/19/2017,The Front Porch,
37,9/26/2017,Smokestack @ Magnolia Brewing,
38,10/3/2017,Pittsburgh Pub,
40,10/17/2017,Hard Knox Cafe,
41,10/24/2017,Pink Onion w/ Matt,
42,10/31/2017,Bill's Place w/ Markibeth,
43,11/7/2017,4505 w/ Kyle,
44,11/14/2017,Steins,
45,11/21/2017,Jenny’s Burger w/ Surveen,
46,11/28/2017,Green Chile Kitchen,
47,12/6/2017,Grinder’s Pizza (TIOW because Taj going away),
48,12/12/2017,Handy Deli,
49,12/20/2017,Perilla,
50,1/2/2018,Thai Time,
51,1/10/2018,Cafe Bunn Mi (wed),
52,1/16/2018,Won Ton House,
53,1/23/2018,Marcello’s Restaurant (Italian),
54,1/30/2018,Native Burger,
55,2/6/2018,Glaze Teriyaki,
56,2/13/2018,Cafe Europa,
57,2/20/2018,Sunflower Garden Authentic Viatnamese,
58,2/27/2018,Marugame Udon,
59,3/6/2018,May Lee Chinese and Japanese Restaurant,
61,3/20/2018,West of Pecos (Last Supper w/ Maribeth),
62,3/27/2018,Golden Boys w/ Haley,
64,4/10/2018,Pasquale's Pizzeria Restaurant,
65,4/20/2018,Baby Blues BBQ (fri),
66,4/25/2018,After Hours (wed),
67,5/1/2018,Camping,
68,5/15/2018,The Beer Hall,Night of MGMT Concert
69,5/22/2018,Straw,
70,5/29/2018,Rusty’s Southern Kitchen,Aaron & Kaila
72,6/12/2018,Zaytoon,
73,6/26/2018,Biergarten,
74,7/3/2018,Aicha Moroccan,
76,7/19/2018,Bolin Barbeque - Thursday,
77,7/24/2018,Pho Phu Quoc,
78,8/7/2018,Papalote,
79,8/15/2018,My Tofu,
80,8/28/2018,Spice Jar,
81,9/4/2018,Kufu Ya,
82,9/11/2018,Chow Food Bar (Castro),
83,9/18/2018,The Pancake House,
84,9/25/2018,Taboun,
85,10/2/2018,Bruno’s Pizza,
86,10/15/2018,Koja (on Clement),
87,10/22/2018,Hamburger Haven,
88,10/29/2018,Green Island (takeout),
89,11/6/2018,My Ivy,
